id,ciudad,provincia,pais
720,Guamal,Magdalena,Colombia
721,Nueva Granada,Magdalena,Colombia
722,Pedraza,Magdalena,Colombia
723,Pijiño del Carmen,Magdalena,Colombia
724,Pivijay,Magdalena,Colombia
725,Plato,Magdalena,Colombia
726,Puebloviejo,Magdalena,Colombia
727,Remolino,Magdalena,Colombia
728,Sabanas de San Angel,Magdalena,Colombia
729,Salamina,Magdalena,Colombia
730,San Sebastián de Buenavista,Magdalena,Colombia
731,San Zenón,Magdalena,Colombia
732,Santa Ana,Magdalena,Colombia
733,Santa Bárbara de Pinto,Magdalena,Colombia
734,Santa Marta,Magdalena,Colombia
735,Sitionuevo,Magdalena,Colombia
736,Tenerife,Magdalena,Colombia
737,Zapayán,Magdalena,Colombia
738,Zona Bananera,Magdalena,Colombia
739,Acacías,Meta,Colombia
740,Barranca de Upía,Meta,Colombia
741,Cabuyaro,Meta,Colombia
742,Castilla la Nueva,Meta,Colombia
743,Cubarral,Meta,Colombia
744,Cumaral,Meta,Colombia
745,El Calvario,Meta,Colombia
746,El Castillo,Meta,Colombia
747,El Dorado,Meta,Colombia
748,Fuente de Oro,Meta,Colombia
749,Granada,Meta,Colombia
750,Guamal,Meta,Colombia
751,La Macarena,Meta,Colombia
752,Lejanías,Meta,Colombia
753,Mapiripán,Meta,Colombia
754,Mesetas,Meta,Colombia
755,Puerto Concordia,Meta,Colombia
756,Puerto Gaitán,Meta,Colombia
757,Puerto Lleras,Meta,Colombia
758,Puerto López,Meta,Colombia
759,Puerto Rico,Meta,Colombia
760,Restrepo,Meta,Colombia
761,San Carlos de Guaroa,Meta,Colombia
762,San Juan de Arama,Meta,Colombia
763,San Juanito,Meta,Colombia
764,San Martín,Meta,Colombia
765,Uribe,Meta,Colombia
766,Villavicencio,Meta,Colombia
767,Vistahermosa,Meta,Colombia
768,Aldana,Nariño,Colombia
769,Ancuya,Nariño,Colombia
770,Arboleda,Nariño,Colombia
771,Barbacoas,Nariño,Colombia
772,Belén,Nariño,Colombia
773,Buesaco,Nariño,Colombia
774,Chachagüí,Nariño,Colombia
775,Colón,Nariño,Colombia
776,Consaca,Nariño,Colombia
777,Contadero,Nariño,Colombia
778,Córdoba,Nariño,Colombia
779,Cuaspud,Nariño,Colombia
780,Cumbal,Nariño,Colombia
781,Cumbitara,Nariño,Colombia
782,El Charco,Nariño,Colombia
783,El Peñol,Nariño,Colombia
784,El Rosario,Nariño,Colombia
785,El Tablón de Gómez,Nariño,Colombia
786,El Tambo,Nariño,Colombia
787,Francisco Pizarro,Nariño,Colombia
788,Funes,Nariño,Colombia
789,Guachucal,Nariño,Colombia
790,Guaitarilla,Nariño,Colombia
791,Gualmatán,Nariño,Colombia
792,Iles,Nariño,Colombia
793,Imués,Nariño,Colombia
794,Ipiales,Nariño,Colombia
795,La Cruz,Nariño,Colombia
796,La Florida,Nariño,Colombia
797,La Llanada,Nariño,Colombia
798,La Tola,Nariño,Colombia
799,La Unión,Nariño,Colombia
800,Leiva,Nariño,Colombia
801,Linares,Nariño,Colombia
802,Los Andes,Nariño,Colombia
803,Magüí Payán,Nariño,Colombia
804,Mallama,Nariño,Colombia
805,Mosquera,Nariño,Colombia
806,Nariño,Nariño,Colombia
807,Olaya Herrera,Nariño,Colombia
808,Ospina,Nariño,Colombia
809,Pasto,Nariño,Colombia
810,Policarpa,Nariño,Colombia
811,Potosí,Nariño,Colombia
812,Providencia,Nariño,Colombia
813,Puerres,Nariño,Colombia
814,Pupiales,Nariño,Colombia
815,Ricaurte,Nariño,Colombia
816,Roberto Payán,Nariño,Colombia
817,Samaniego,Nariño,Colombia
818,San Bernardo,Nariño,Colombia
819,San José de Albán,Nariño,Colombia
820,San Lorenzo,Nariño,Colombia
821,San Pablo,Nariño,Colombia
822,San Pedro de Cartago,Nariño,Colombia
823,Sandoná,Nariño,Colombia
824,Santa Bárbara,Nariño,Colombia
825,Santacruz,Nariño,Colombia
826,Sapuyes,Nariño,Colombia
827,Taminango,Nariño,Colombia
828,Tangua,Nariño,Colombia
829,Tumaco,Nariño,Colombia
830,Túquerres,Nariño,Colombia
831,Yacuanquer,Nariño,Colombia
832,Abrego,Norte de Santander,Colombia
833,Arboledas,Norte de Santander,Colombia
834,Bochalema,Norte de Santander,Colombia
835,Bucarasica,Norte de Santander,Colombia
836,Cachirá,Norte de Santander,Colombia
837,Cácota,Norte de Santander,Colombia
838,Chinácota,Norte de Santander,Colombia
839,Chitagá,Norte de Santander,Colombia
840,Convención,Norte de Santander,Colombia
841,Cúcuta,Norte de Santander,Colombia
842,Cucutilla,Norte de Santander,Colombia
843,Durania,Norte de Santander,Colombia
844,El Carmen,Norte de Santander,Colombia
845,El Tarra,Norte de Santander,Colombia
846,El Zulia,Norte de Santander,Colombia
847,Gramalote,Norte de Santander,Colombia
848,Hacarí,Norte de Santander,Colombia
849,Herrán,Norte de Santander,Colombia
850,La Esperanza,Norte de Santander,Colombia
851,La Playa,Norte de Santander,Colombia
852,Labateca,Norte de Santander,Colombia
853,Los Patios,Norte de Santander,Colombia
854,Lourdes,Norte de Santander,Colombia
855,Mutiscua,Norte de Santander,Colombia
856,Ocaña,Norte de Santander,Colombia
857,Pamplona,Norte de Santander,Colombia
858,Pamplonita,Norte de Santander,Colombia
859,Puerto Santander,Norte de Santander,Colombia
860,Ragonvalia,Norte de Santander,Colombia
861,Salazar,Norte de Santander,Colombia
862,San Calixto,Norte de Santander,Colombia
863,San Cayetano,Norte de Santander,Colombia
864,Santiago,Norte de Santander,Colombia
865,Sardinata,Norte de Santander,Colombia
866,Silos,Norte de Santander,Colombia
867,Teorama,Norte de Santander,Colombia
868,Tibú,Norte de Santander,Colombia
869,Toledo,Norte de Santander,Colombia
870,Villa Caro,Norte de Santander,Colombia
871,Villa del Rosario,Norte de Santander,Colombia
872,Colón,Putumayo,Colombia
873,Mocoa,Putumayo,Colombia
874,Orito,Putumayo,Colombia
875,Puerto Asís,Putumayo,Colombia
876,Puerto Caicedo,Putumayo,Colombia
877,Puerto Guzmán,Putumayo,Colombia
878,Puerto Leguízamo,Putumayo,Colombia
879,San Francisco,Putumayo,Colombia
880,San Miguel,Putumayo,Colombia
881,Santiago,Putumayo,Colombia
882,Sibundoy,Putumayo,Colombia
883,Valle del Guamuez,Putumayo,Colombia
884,Villagarzón,Putumayo,Colombia
885,Armenia,Quindío,Colombia
886,Buenavista,Quindío,Colombia
887,Calarca,Quindío,Colombia
888,Circasia,Quindío,Colombia
889,Córdoba,Quindío,Colombia
890,Filandia,Quindío,Colombia
891,Génova,Quindío,Colombia
892,La Tebaida,Quindío,Colombia
893,Montenegro,Quindío,Colombia
894,Pijao,Quindío,Colombia
895,Quimbaya,Quindío,Colombia
896,Salento,Quindío,Colombia
897,Apía,Risaralda,Colombia
898,Balboa,Risaralda,Colombia
899,Belén de Umbría,Risaralda,Colombia
900,Dosquebradas,Risaralda,Colombia
901,Guática,Risaralda,Colombia
902,La Celia,Risaralda,Colombia
903,La Virginia,Risaralda,Colombia
904,Marsella,Risaralda,Colombia
905,Mistrató,Risaralda,Colombia
906,Pereira,Risaralda,Colombia
907,Pueblo Rico,Risaralda,Colombia
908,Quinchía,Risaralda,Colombia
909,Santa Rosa de Cabal,Risaralda,Colombia
910,Santuario,Risaralda,Colombia
911,Aguada,Santander,Colombia
912,Albania,Santander,Colombia
913,Aratoca,Santander,Colombia
914,Barbosa,Santander,Colombia
915,Barichara,Santander,Colombia
916,Barrancabermeja,Santander,Colombia
917,Betulia,Santander,Colombia
918,Bolívar,Santander,Colombia
919,Bucaramanga,Santander,Colombia
920,Cabrera,Santander,Colombia
921,California,Santander,Colombia
922,Capitanejo,Santander,Colombia
923,Carcasí,Santander,Colombia
924,Cepitá,Santander,Colombia
925,Cerrito,Santander,Colombia
926,Charalá,Santander,Colombia
927,Charta,Santander,Colombia
928,Chima,Santander,Colombia
929,Chipatá,Santander,Colombia
930,Cimitarra,Santander,Colombia
931,Concepción,Santander,Colombia
932,Confines,Santander,Colombia
933,Contratación,Santander,Colombia
934,Coromoro,Santander,Colombia
935,Curití,Santander,Colombia
936,El Carmen de Chucurí,Santander,Colombia
937,El Guacamayo,Santander,Colombia
938,El Peñón,Santander,Colombia
939,El Playón,Santander,Colombia
940,Encino,Santander,Colombia
941,Enciso,Santander,Colombia
942,Florián,Santander,Colombia
943,Floridablanca,Santander,Colombia
944,Galán,Santander,Colombia
945,Gambita,Santander,Colombia
946,Girón,Santander,Colombia
947,Guaca,Santander,Colombia
948,Guadalupe,Santander,Colombia
949,Guapotá,Santander,Colombia
950,Guavatá,Santander,Colombia
951,Güepsa,Santander,Colombia
952,Hato,Santander,Colombia
953,Jesús María,Santander,Colombia
954,Jordán,Santander,Colombia
955,La Belleza,Santander,Colombia
956,La Paz,Santander,Colombia
957,Landázuri,Santander,Colombia
958,Lebrija,Santander,Colombia
959,Los Santos,Santander,Colombia
960,Macaravita,Santander,Colombia
961,Málaga,Santander,Colombia
962,Matanza,Santander,Colombia
963,Mogotes,Santander,Colombia
964,Molagavita,Santander,Colombia
965,Ocamonte,Santander,Colombia
966,Oiba,Santander,Colombia
967,Onzaga,Santander,Colombia
968,Palmar,Santander,Colombia
969,Palmas del Socorro,Santander,Colombia
970,Páramo,Santander,Colombia
971,Piedecuesta,Santander,Colombia
972,Pinchote,Santander,Colombia
973,Puente Nacional,Santander,Colombia
974,Puerto Parra,Santander,Colombia
975,Puerto Wilches,Santander,Colombia
976,Rionegro,Santander,Colombia
977,Sabana de Torres,Santander,Colombia
978,San Andrés,Santander,Colombia
979,San Benito,Santander,Colombia
980,San Gil,Santander,Colombia
981,San Joaquín,Santander,Colombia
982,San José de Miranda,Santander,Colombia
983,San Miguel,Santander,Colombia
984,San Vicente de Chucurí,Santander,Colombia
985,Santa Bárbara,Santander,Colombia
986,Santa Helena Del Opón,Santander,Colombia
987,Simacota,Santander,Colombia
988,Socorro,Santander,Colombia
989,Suaita,Santander,Colombia
990,Sucre,Santander,Colombia
991,Suratá,Santander,Colombia
992,Tona,Santander,Colombia
993,Valle de San José,Santander,Colombia
994,Vélez,Santander,Colombia
995,Vetas,Santander,Colombia
996,Villanueva,Santander,Colombia
997,Zapatoca,Santander,Colombia
998,Buenavista,Sucre,Colombia
999,Caimito,Sucre,Colombia
1000,Chalán,Sucre,Colombia
1001,Coloso,Sucre,Colombia
1002,Corozal,Sucre,Colombia
1003,Coveñas,Sucre,Colombia
1004,El Roble,Sucre,Colombia
1005,Galeras,Sucre,Colombia
1006,Guaranda,Sucre,Colombia
1007,La Unión,Sucre,Colombia
1008,Los Palmitos,Sucre,Colombia
1009,Majagual,Sucre,Colombia
1010,Morroa,Sucre,Colombia
1011,Ovejas,Sucre,Colombia
1012,Palmito,Sucre,Colombia
1013,Sampués,Sucre,Colombia
1014,San Benito Abad,Sucre,Colombia
1015,San Juan de Betulia,Sucre,Colombia
1016,San Luis de Sincé,Sucre,Colombia
1017,San Marcos,Sucre,Colombia
1018,San Onofre,Sucre,Colombia
1019,San Pedro,Sucre,Colombia
1020,Santiago de Tolú,Sucre,Colombia
1021,Sincelejo,Sucre,Colombia
1022,Sucre,Sucre,Colombia
1023,Tolú Viejo,Sucre,Colombia
1024,Alpujarra,Tolima,Colombia
1025,Alvarado,Tolima,Colombia
1026,Ambalema,Tolima,Colombia
1027,Anzoátegui,Tolima,Colombia
1028,Armero,Tolima,Colombia
1029,Ataco,Tolima,Colombia
1030,Cajamarca,Tolima,Colombia
1031,Carmen de Apicalá,Tolima,Colombia
1032,Casabianca,Tolima,Colombia
1033,Chaparral,Tolima,Colombia
1034,Coello,Tolima,Colombia
1035,Coyaima,Tolima,Colombia
1036,Cunday,Tolima,Colombia
1037,Dolores,Tolima,Colombia
1038,Espinal,Tolima,Colombia
1039,Falan,Tolima,Colombia
1040,Flandes,Tolima,Colombia
1041,Fresno,Tolima,Colombia
1042,Guamo,Tolima,Colombia
1043,Herveo,Tolima,Colombia
1044,Honda,Tolima,Colombia
1045,Ibagué,Tolima,Colombia
1046,Icononzo,Tolima,Colombia
1047,Lérida,Tolima,Colombia
1048,Líbano,Tolima,Colombia
1049,Melgar,Tolima,Colombia
1050,Murillo,Tolima,Colombia
1051,Natagaima,Tolima,Colombia
1052,Ortega,Tolima,Colombia
1053,Palocabildo,Tolima,Colombia
1054,Piedras,Tolima,Colombia
1055,Planadas,Tolima,Colombia
1056,Prado,Tolima,Colombia
1057,Purificación,Tolima,Colombia
1058,Rioblanco,Tolima,Colombia
1059,Roncesvalles,Tolima,Colombia
1060,Rovira,Tolima,Colombia
1061,Saldaña,Tolima,Colombia
1062,San Antonio,Tolima,Colombia
1063,San Luis,Tolima,Colombia
1064,San Sebastián de Mariquita,Tolima,Colombia
1065,Santa Isabel,Tolima,Colombia
1066,Suárez,Tolima,Colombia
1067,Valle de San Juan,Tolima,Colombia
1068,Venadillo,Tolima,Colombia
1069,Villahermosa,Tolima,Colombia
1070,Villarrica,Tolima,Colombia
1071,Alcalá,Valle del Cauca,Colombia
1072,Andalucía,Valle del Cauca,Colombia
1073,Ansermanuevo,Valle del Cauca,Colombia
1074,Argelia,Valle del Cauca,Colombia
1075,Bolívar,Valle del Cauca,Colombia
1076,Buenaventura,Valle del Cauca,Colombia
1077,Bugalagrande,Valle del Cauca,Colombia
1078,Caicedonia,Valle del Cauca,Colombia
1079,Cali,Valle del Cauca,Colombia
1080,Calima,Valle del Cauca,Colombia
1081,Candelaria,Valle del Cauca,Colombia
1082,Cartago,Valle del Cauca,Colombia
1083,Dagua,Valle del Cauca,Colombia
1084,El Águila,Valle del Cauca,Colombia
1085,El Cairo,Valle del Cauca,Colombia
1086,El Cerrito,Valle del Cauca,Colombia
1087,El Dovio,Valle del Cauca,Colombia
1088,Florida,Valle del Cauca,Colombia
1089,Ginebra,Valle del Cauca,Colombia
1090,Guacarí,Valle del Cauca,Colombia
1091,Guadalajara de Buga,Valle del Cauca,Colombia
1092,Jamundí,Valle del Cauca,Colombia
1093,La Cumbre,Valle del Cauca,Colombia
1094,La Unión,Valle del Cauca,Colombia
1095,La Victoria,Valle del Cauca,Colombia
1096,Obando,Valle del Cauca,Colombia
1097,Palmira,Valle del Cauca,Colombia
1098,Pradera,Valle del Cauca,Colombia
1099,Restrepo,Valle del Cauca,Colombia
1100,Riofrío,Valle del Cauca,Colombia
1101,Roldanillo,Valle del Cauca,Colombia
1102,San Pedro,Valle del Cauca,Colombia
1103,Sevilla,Valle del Cauca,Colombia
1104,Toro,Valle del Cauca,Colombia
1105,Trujillo,Valle del Cauca,Colombia
1106,Tuluá,Valle del Cauca,Colombia
1107,Ulloa,Valle del Cauca,Colombia
1108,Versalles,Valle del Cauca,Colombia
1109,Vijes,Valle del Cauca,Colombia
1110,Yotoco,Valle del Cauca,Colombia
1111,Yumbo,Valle del Cauca,Colombia
1112,Zarzal,Valle del Cauca,Colombia
1113,Caruru,Vaupés,Colombia
1114,Mitú,Vaupés,Colombia
1115,Pacoa,Vaupés,Colombia
1116,Papunaua,Vaupés,Colombia
1117,Taraira,Vaupés,Colombia
1118,Yavaraté,Vaupés,Colombia
1119,Cumaribo,Vichada,Colombia
1120,La Primavera,Vichada,Colombia
1121,Puerto Carreño,Vichada,Colombia
1122,Santa Rosalia,Vichada,Colombia
