id,ciudad,provincia,pais
162,Santa Lucía,Atlántico,Colombia
163,Santo Tomás,Atlántico,Colombia
164,Soledad,Atlántico,Colombia
165,Suan,Atlántico,Colombia
166,Tubará,Atlántico,Colombia
167,Usiacurí,Atlántico,Colombia
168,Bogotá D.C.,Bogotá D.C.,Colombia
169,Achí,Bolívar,Colombia
170,Altos del Rosario,Bolívar,Colombia
171,Arenal,Bolívar,Colombia
172,Arjona,Bolívar,Colombia
173,Arroyohondo,Bolívar,Colombia
174,Barranco de Loba,Bolívar,Colombia
175,Calamar,Bolívar,Colombia
176,Cantagallo,Bolívar,Colombia
177,Cartagena de Indias,Bolívar,Colombia
178,Cicuco,Bolívar,Colombia
179,Clemencia,Bolívar,Colombia
180,Córdoba,Bolívar,Colombia
181,El Carmen de Bolívar,Bolívar,Colombia
182,El Guamo,Bolívar,Colombia
183,El Peñón,Bolívar,Colombia
184,Hatillo de Loba,Bolívar,Colombia
185,Magangué,Bolívar,Colombia
186,Mahates,Bolívar,Colombia
187,Margarita,Bolívar,Colombia
188,María la Baja,Bolívar,Colombia
189,Mompós,Bolívar,Colombia
190,Montecristo,Bolívar,Colombia
191,Morales,Bolívar,Colombia
192,Norosí,Bolívar,Colombia
193,Pinillos,Bolívar,Colombia
194,Regidor,Bolívar,Colombia
195,Río Viejo,Bolívar,Colombia
196,San Cristóbal,Bolívar,Colombia
197,San Estanislao,Bolívar,Colombia
198,San Fernando,Bolívar,Colombia
199,San Jacinto,Bolívar,Colombia
200,San Jacinto del Cauca,Bolívar,Colombia
201,San Juan Nepomuceno,Bolívar,Colombia
202,San Martín de Loba,Bolívar,Colombia
203,San Pablo,Bolívar,Colombia
204,Santa Catalina,Bolívar,Colombia
205,Santa Rosa,Bolívar,Colombia
206,Santa Rosa del Sur,Bolívar,Colombia
207,Simití,Bolívar,Colombia
208,Soplaviento,Bolívar,Colombia
209,Talaigua Nuevo,Bolívar,Colombia
210,Tiquisio,Bolívar,Colombia
211,Turbaco,Bolívar,Colombia
212,Turbaná,Bolívar,Colombia
213,Villanueva,Bolívar,Colombia
214,Zambrano,Bolívar,Colombia
215,Almeida,Boyacá,Colombia
216,Aquitania,Boyacá,Colombia
217,Arcabuco,Boyacá,Colombia
218,Belén,Boyacá,Colombia
219,Berbeo,Boyacá,Colombia
220,Betéitiva,Boyacá,Colombia
221,Boavita,Boyacá,Colombia
222,Boyacá,Boyacá,Colombia
223,Briceño,Boyacá,Colombia
224,Buenavista,Boyacá,Colombia
225,Busbanzá,Boyacá,Colombia
226,Caldas,Boyacá,Colombia
227,Campohermoso,Boyacá,Colombia
228,Cerinza,Boyacá,Colombia
229,Chinavita,Boyacá,Colombia
230,Chiquinquirá,Boyacá,Colombia
231,Chíquiza,Boyacá,Colombia
232,Chiscas,Boyacá,Colombia
233,Chita,Boyacá,Colombia
234,Chitaraque,Boyacá,Colombia
235,Chivatá,Boyacá,Colombia
236,Chivor,Boyacá,Colombia
237,Ciénega,Boyacá,Colombia
238,Combita,Boyacá,Colombia
239,Coper,Boyacá,Colombia
240,Corrales,Boyacá,Colombia
241,Covarachía,Boyacá,Colombia
242,Cubará,Boyacá,Colombia
243,Cucaita,Boyacá,Colombia
244,Cuítiva,Boyacá,Colombia
245,Duitama,Boyacá,Colombia
246,El Cocuy,Boyacá,Colombia
247,El Espino,Boyacá,Colombia
248,Firavitoba,Boyacá,Colombia
249,Floresta,Boyacá,Colombia
250,Gachantivá,Boyacá,Colombia
251,Gameza,Boyacá,Colombia
252,Garagoa,Boyacá,Colombia
253,Guacamayas,Boyacá,Colombia
254,Guateque,Boyacá,Colombia
255,Guayatá,Boyacá,Colombia
256,Güicán,Boyacá,Colombia
257,Iza,Boyacá,Colombia
258,Jenesano,Boyacá,Colombia
259,Jericó,Boyacá,Colombia
260,La Capilla,Boyacá,Colombia
